Context,Text response,,,,,,,
Kapan mangan Soto Lamongan?,"Wes kangen banget karo rasane Soto Lamongan sing wingi di nikmati, dadi pengen enggal bali ngrasakno maneh. seneng maneh.",,,,,,,
Piye rasane Soto Lamongan?,"Aku seneng banget karo panganan Soto Lamongan sing enak. Sambelnya enak banget, daging ayamnya empuk, bumbunya pas. Rasane enak banget, mula aku pengin nyoba maneh ing wektu liyane.",,,,,,,
ngendi dheweke arep mangan pempek?,"dheweke milih ngrasakake khas daerah, yaiku pempek, ing sangisore ayang-ayangan megah Jembatan Ampera.",,,,,,,
ngendi padha mangan pitik?,"padha seneng banget karo masakan pitik ing Warung Ayam Nelongo, sinambi ngrasakake swasana nyaman ing kono.",,,,,,,
ngendi dheweke ngombe dawet?,dheweke sregep ngrasakake segelas dawet ijo seger ing pinggir dalan sing rame.,,,,,,,
Apa sing dadi spesial bakso Malang?,"Bakso Malang misuwur kanthi saos kental sing enak lan pentol goreng sing gurih, dadi panganan sing disenengi ing Malang.",,,,,,,
Ing endi papan sing paling apik kanggo nikmati sarapan tradisional Malang?,"Sampeyan bisa nyoba sarapan tradisional Malang ing Warung Kampoeng Tempo Doeloe, ngendi padha nyediakake masakan kaya bubur ayam asli lan sega pecel.",,,,,,,
Apa sing ndadekake jajanan pinggir dalan ing Alun-Alun Malang dadi populer?,"Jajan jalanan ing Alun-Alun Malang populer amarga macem-macem pilihan panganan wiwit saka bakso nganti jajanan pasar, uga swasana sing rame ing sekitar wilayah kasebut.",,,,,,,
Apa ana panganan cuci mulut sing patut dicoba ing Malang?,"Kanggo panganan cuci mulut, sampeyan kudu nyoba es krim klasik ing Toko Oen, sing wis dadi ikon kuliner Malang pirang-pirang taun.",,,,,,,
Ing ngendi aku bisa nemokake warung kopi sing nyaman ing Malang?,Sampeyan bisa nemokake warung kopi sing nyaman ing Kampung Heritage amarga panggonan iki misuwur banget ing wilayah Malang,,,,,,,
Panganan eksotis apa sing bisa sampeyan coba ing Malang?,"Coba sate terwelu, panganan eksotis sing kasedhiya ing sawetara warung khusus ing Malang. Iki pengalaman kuliner sing beda.",,,,,,,
Apa aku bisa mangan Soto Makassar ing Surabaya?,"Soto Makasar berasal dari wilayah Makasar, Sulawesi Selatan, Indonesia. Kanggo nemokake Soto Makassar ing Surabaya, sampeyan bisa ngunjungi Jl Kupang Indah, Surabaya",,,,,,,
Bika Ambon neng endi?,Bika Ambon inggih menika salah satunggaling jinis jajanan ingkang asalipun saking Medan. Ananging menawi badhe tumbas Bika Ambon ing sacelakipun tlatah menika saged dipuntumbas wonten ing toko cabang Malang,,,,,,,
Apa resep kanggo nggawe kari sing enak iki?,Gulai digawe saka santen sing rasane enak yen akeh digunakake.,,,,,,,
Carane mangan ketupat iki?,Ketupat yaiku panganan sing digawe saka beras sing dibungkus godhong klapa. Ketupat biasane dipangan karo kari.,,,,,,,
Apa sampeyan wis tau nyoba Roti Singkong?,"Aku wis nyoba Roti singkong. Rasane enak lan renyah, cocok banget kanggo cemilan.",,,,,,,
"Jenang utawa Getuk Lindri, sing luwih disenengi?","Aku luwih milih Jenang tinimbang Getuk Lindri. Jenang nduweni tekstur sing luwih alus lan manis, enak kanggo panganan cuci mulut.",,,,,,,
Piye rasane Klappertaart?,Klappertaart nduweni tekstur sing lembut lan krim kanthi rasa klapa sing khas. Rasane enak banget.,,,,,,,
Apa sing ndadekake Malang Apple unik?,"Apel Malang unik amarga rasane manis lan seger, teksture renyah.",,,,,,,
Piye rasane Bakpia Pathok?,Bakpia Pathok rasane legi lan gurih karo isi kacang empuk. Sedhep banget lan cocok kanggo cemilan.,,,,,,,
Apa panganan Geplak?,Geplak minangka jajanan tradhisional kanthi rasa manis lan tekstur ketan.,,,,,,,
Apa sing nggawe Lapis Legit istimewa?,Lapis Legit istimewa amarga digawe kanthi lapisan tipis lan tekstur alus. Rasane legi lan enak.,,,,,,,
Apa pendapatmu babagan Pia Malang?,"Aku seneng Pia Malang. Pia iki nduweni kulit sing renyah lan isi sing enak, biasane kacang ijo utawa coklat.",,,,,,,
Apa sampeyan seneng jajanan pasar?,Aku seneng Snack Market. Panganan tradisional ing pasar jajanan nduweni rasa sing khas lan unik.,,,,,,,
"Es Krim Malang utawa Es Cendol, kowe milih sing endi?",Aku luwih seneng Es Krim Malang. Es krim iki nduweni macem-macem rasa sing enak lan cocok kanggo cuaca panas.,,,,,,,
Piye rasane Es Doger?,"Es Doger nduweni rasa manis lan seger, utamane amarga campuran es krim, kacang abang lan cendol.",,,,,,,
"Apa iku Es Goyobod, lan kepiye rasane?","Es Goyobod ya iku wedang tradhisional kang digawé saka santen, gula abang lan es serut. Rasane legi lan kenthel.",,,,,,,
"Es Teler utawa Es Tape, sing sampeyan pilih?","Aku luwih seneng Es Teler. Es Teler akeh tambahan kayata alpukat, klapa enom lan nangka sing nggawe seger.",,,,,,,
Apa sing ndadekake Dawet Ireng istimewa?,Dawet Ireng iku istimewa amarga teksture kenyal lan legi ditambahi santen.,,,,,,,
Apa sing disenengi karo Wedang Ronde?,Aku seneng Wedang Ronde amarga rasane jahe sing anget lan kenyal saka ketan ketan.,,,,,,,
Apa sampeyan luwih seneng Es Legi utawa Es Cincau?,"Aku luwih seneng Es Legi. Es Legi nduweni rasa gula aren sing khas lan tekstur kenyal, cocok kanggo panganan cuci mulut.",,,,,,,
Apa sing paling disenengi saka Wedang Uwuh?,Sing paling disenengi Wedang Uwuh yaiku kombinasi bumbu sing wangi lan rasa manis.,,,,,,,
Piye rasane Es Pisang Ijo?,Es Pisang Ijo nduweni rasa manis lan seger kanthi tekstur sing lembut.,,,,,,,
Apa sing sampeyan seneng babagan Es Krim Unik?,Aku seneng macem-macem rasa lan bentuk unik saka Es Krim Unik. Ana tansah soko menarik kanggo nyoba.,,,,,,,
Apa pengalaman sampeyan karo Kripik Singkong?,Aku seneng Keripik singkong amarga rasane enak lan renyah. Cocog minangka cemilan entheng.,,,,,,,
"Kripik Pisang utawa Kripik Tempe, sing luwih disenengi?",Aku luwih seneng Kripik Pisang amarga rasane manis lan renyah.,,,,,,,
Apa sampeyan luwih seneng Kripik Kentang utawa Kripik Jagung?,"Aku luwih seneng Kripik Kentang amarga rasane manis lan renyah, lan uga nduweni warna sing menarik.",,,,,,,
"Kripik kentang utawa krupuk, sampeyan milih sing endi?",Aku luwih seneng Kripik Kentang amarga rasa sing enak lan tekstur sing renyah.,,,,,,,
Piye rasane Coklat Khas Malang?,Coklat khas Malang nduweni rasa manis kanthi sentuhan unik. Aku seneng coklat ing macem-macem rasa lan wujud.,,,,,,,
Apa sampeyan mikir babagan Egg Nuts?,Kacang Telur minangka cemilan gurih banget. Aku seneng rasa nutty lan crunch saka endhog.,,,,,,,
